Country,ISO_code,Confirmed,Deaths,Recovered,Active,Population,Tests
Honduras,HND,40944,1259,5281,34404,9746117,
Jordan,JOR,1187,11,1049,127,10101694,
South Africa,ZAF,471123,7497,297967,165659,58558270,2830635
Jamaica,JAM,856,10,724,122,2948279,
Andorra,AND,918,52,804,62,77142,
Kosovo,XKX,7846,196,4267,3383,1794248,
Israel,ISR,68299,491,32746,35062,9053300,1047818
Peru,PER,400683,18816,280044,101823,32510453,
Dominica,DMA,18,0,18,0,71808,
Burkina Faso,BFA,1105,53,931,121,20321378,
North Macedonia,MKD,10503,476,5931,4096,2083459,
Botswana,BWA,804,2,63,739,2303697,
Argentina,ARG,178996,3288,77855,97853,44938712,560862
Norway,NOR,9172,255,8752,165,5347896,414789
Vietnam,VNM,459,0,369,90,96462106,261004
India,IND,1581963,34955,1019735,527273,1366417754,11888829
Italy,ITA,246776,35129,199031,12616,60297396,3998585
Sudan,SDN,11496,725,6001,4770,42813238,
Pakistan,PAK,276288,5892,244883,25513,216565318,1293895
Malta,MLT,720,9,665,46,502653,75872
Guyana,GUY,398,20,185,193,782766,
San Marino,SMR,699,42,657,0,33860,
Belgium,BEL,67335,9836,17491,40008,11484055,1211031
Indonesia,IDN,104432,4975,62138,37319,270625568,841027
Namibia,NAM,1986,9,104,1873,2494530,
Panama,PAN,63269,1374,37316,24579,4246439,139808
Cameroon,CMR,17255,391,15320,1544,25876380,
New Zealand,NZL,1560,22,1514,24,4917000,308258
Algeria,DZA,29229,1186,19592,8451,43053054,
Greece,GRC,4336,203,1374,2759,10716322,342673
China,CHN,87680,4665,81034,1981,1397715000,
Uruguay,URY,1237,35,967,235,3461734,65309
Eritrea,ERI,265,0,191,74,3552785,
Sierra Leone,SLE,1803,67,1355,381,7813215,
Mongolia,MNG,291,0,225,66,3225167,
Saint Vincent and the Grenadines,VCT,52,0,39,13,110589,
Germany,DEU,208546,9135,191279,8132,83132799,5364347
Trinidad and Tobago,TTO,156,8,128,20,1394973,
Azerbaijan,AZE,31221,438,24495,6288,10023318,
Denmark,DNK,13868,614,12686,568,5818553,980586
Ethiopia,ETH,15810,253,6685,8872,112078730,221958
Kazakhstan,KAZ,87664,793,57815,29056,18513930,1221686
Iran,IRN,298909,16343,259116,23450,82913906,1611999
United Kingdom,GBR,303063,46046,1438,255579,66834405,6108983
Turkey,TUR,228924,5659,212557,10708,83429615,3125944
Latvia,LVA,1224,31,1052,141,1912789,130878
Paraguay,PRY,4866,46,3169,1651,7044636,79905
Chile,CHL,351575,9278,324557,17740,18952038,1059198
Costa Rica,CRI,16800,133,4050,12617,5047561,71428
Albania,ALB,5105,150,2830,2125,2854191,
Guatemala,GTM,47605,1835,34488,11282,16604026,
Nepal,NPL,19273,49,14021,5203,28608710,232685
Russia,RUS,827509,13650,619204,194655,144373535,18472476
Somalia,SOM,3212,93,1562,1557,15442905,
Eswatini,SWZ,2551,40,1070,1441,1148130,
Uzbekistan,UZB,22585,131,12937,9517,33580650,
Ghana,GHA,35142,175,31286,3681,30417856,382752
Japan,JPN,33382,1001,23351,9030,126264931,765346
Equatorial Guinea,GNQ,3071,51,842,2178,1355986,
Armenia,ARM,37937,723,27824,9390,2957731,
Iraq,IRQ,118300,4603,83461,30236,39309783,
Nicaragua,NIC,3672,116,2492,1064,6545502,
Brazil,BRA,2552265,90134,1922802,539329,211049527,
Uganda,UGA,1140,2,1028,110,44269594,
Iceland,ISL,1861,10,1823,28,361313,46310
Afghanistan,AFG,36471,1271,25389,9811,38041754,
Antigua and Barbuda,ATG,91,3,67,21,97118,
Ecuador,ECU,83193,5623,35572,41998,17373662,176208
Gambia,GMB,326,8,66,252,2347706,
Slovenia,SVN,2115,117,1761,237,2087946,86008
Bangladesh,BGD,232194,3035,130292,98867,163046161,761911
Philippines,PHL,85486,1962,26996,56528,108116615,1327782
Liechtenstein,LIE,88,1,85,2,38019,
Tunisia,TUN,1488,50,1178,260,11694719,59889
Belarus,BLR,67518,548,61442,5528,9466856,850992
Switzerland,CHE,34802,1979,31100,1723,8574832,521036
Romania,ROU,48235,2269,26446,19520,19356544,773367
Ireland,IRL,25942,1764,23364,814,4941444,418510
Haiti,HTI,7378,159,4467,2752,11263077,
Tajikistan,TJK,7320,60,6103,1157,9321018,
Spain,ESP,282641,28441,150376,103824,47076781,2912633
Netherlands,NLD,53895,6166,196,47533,17332850,962965
Liberia,LBR,1179,72,664,443,4937374,
Qatar,QAT,110153,169,106849,3135,2832067,326596
Bosnia and Herzegovina,BIH,11127,316,5441,5370,3301000,
Niger,NER,1132,69,1027,36,23310715,
Lesotho,LSO,576,13,141,422,2125268,
Canada,CAN,117357,8962,101992,6404,37589262,3863930
Burundi,BDI,387,1,304,82,11530580,
Nigeria,NGA,42208,873,19004,22331,200963599,182749
Mexico,MEX,408449,45361,314538,48550,127575529,809561
Morocco,MAR,22213,334,17125,4754,36471769,1188801
Montenegro,MNE,3016,47,931,2038,622137,
Australia,AUS,16298,189,9619,6490,25364307,2701600
Saint Lucia,LCA,24,0,22,2,182790,
Guinea-Bissau,GNB,1954,26,803,1125,1920922,
Slovakia,SVK,2245,28,1660,557,5454073,172556
Bahrain,BHR,40311,144,36920,3247,1641172,808276
Libya,LBY,3222,76,596,2550,6777452,
El Salvador,SLV,15841,430,8071,7340,6453553,155235
