"iso_code","country","tot_cases","tot_tests","population"
"AFG","Afghanistan",60797,NA,38928341
"ALB","Albania",131419,NA,2877800
"DZA","Algeria",123272,NA,43851043
"AND","Andorra",13340,NA,77265
"AGO","Angola",27529,NA,32866268
"ATG","Antigua and Barbuda",1232,NA,97928
"ARG","Argentina",3071496,NA,45195777
"ARM","Armenia",217900,1000909,2963234
"ABW","Aruba",NA,NA,106766
"AUS","Australia",29884,17030186,25499881
"AUT","Austria",626239,33242932,9006400
"AZE","Azerbaijan",323841,3289864,10139175
"BHS","Bahamas",10576,NA,393248
"BHR","Bahrain",183330,4155732,1701583
"BGD","Bangladesh",767338,5550275,164689383
"BRB","Barbados",3915,NA,287371
"BLR","Belarus",363732,NA,9449321
"BEL","Belgium",1003746,12819930,11589616
"BLZ","Belize",12680,NA,397621
"BEN","Benin",7884,NA,12123198
"BTN","Bhutan",1144,718273,771612
"BOL","Bolivia",310572,NA,11673029
"BIH","Bosnia and Herzegovina",199882,916879,3280815
"BWA","Botswana",47851,NA,2351625
"BRA","Brazil",14930183,NA,212559409
"BRN","Brunei",228,NA,437483
"BGR","Bulgaria",407827,2541572,6948445
"BFA","Burkina Faso",13345,NA,20903278
"BDI","Burundi",4069,NA,11890781
"KHM","Cambodia",16971,NA,16718971
"CMR","Cameroon",72250,NA,26545864
"CAN","Canada",1266249,32127668,37742157
"CPV","Cape Verde",25159,NA,555988
"CYM","Cayman Islands",NA,NA,65720
"CAF","Central African Republic",6521,NA,4829764
"TCD","Chad",4847,NA,16425859
"CHL","Chile",1222949,13303828,19116209
"CHN","China",102571,NA,1439323774
"COL","Colombia",2934611,15085807,50882884
"COM","Comoros",3847,NA,869595
"COG","Congo",11016,NA,5518092
"CRI","Costa Rica",260535,NA,5094114
"CIV","Cote d'Ivoire",46231,603021,26378275
"HRV","Croatia",339412,1846554,4105268
"CUB","Cuba",111654,3764614,11326616
"CUW","Curacao",NA,NA,164100
"CYP","Cyprus",67982,5417678,875899
"CZE","Czechia",1639248,NA,10708982
"COD","Democratic Republic of Congo",30130,NA,89561404
"DNK","Denmark",255181,NA,5792203
"DJI","Djibouti",11268,NA,988002
"DMA","Dominica",174,NA,71991
"DOM","Dominican Republic",268561,1423534,10847904
"ECU","Ecuador",393048,1360184,17643060
"EGY","Egypt",232905,NA,102334403
"SLV","El Salvador",69997,NA,6486201
"GNQ","Equatorial Guinea",7694,NA,1402985
"ERI","Eritrea",3707,NA,3546427
"EST","Estonia",123781,1318838,1326539
"SWZ","Eswatini",18467,NA,1160164
"ETH","Ethiopia",260139,2599462,114963583
"FRO","Faeroe Islands",NA,NA,48865
"FJI","Fiji",125,NA,896444
"FIN","Finland",87798,4615122,5540718
"FRA","France",5767541,NA,68147687
"GAB","Gabon",23201,NA,2225728
"GMB","Gambia",5914,NA,2416664
"GEO","Georgia",315913,4263000,3989175
"DEU","Germany",3484755,NA,83783945
"GHA","Ghana",92828,NA,31072945
"GIB","Gibraltar",NA,NA,33691
"GRC","Greece",352027,8244918,10423056
"GRD","Grenada",160,NA,112519
"GTM","Guatemala",231289,1291245,17915567
"GIN","Guinea",22468,NA,13132792
"GNB","Guinea-Bissau",3738,NA,1967998
"GUY","Guyana",13829,NA,786559
"HTI","Haiti",13149,NA,11402533
"HND","Honduras",216964,NA,9904608
"HKG","Hong Kong",NA,NA,7496988
"HUN","Hungary",785967,5003825,9660350
"ISL","Iceland",6497,356089,341250
"IND","India",21077410,294852078,1380004385
"IDN","Indonesia",1691658,10033957,273523621
"IRN","Iran",2591609,NA,83992953
"IRQ","Iraq",1091954,9524638,40222503
"IRL","Ireland",251087,4578830,4937796
"IMN","Isle of Man",NA,NA,85032
"ISR","Israel",838767,16294031,8655541
"ITA","Italy",4070400,59879330,60461828
"JAM","Jamaica",46194,NA,2961161
"JPN","Japan",617890,11462985,126476458
"JOR","Jordan",716923,6781275,10203140
"KAZ","Kazakhstan",388111,10405087,18776707
"KEN","Kenya",161393,NA,53771300
"OWID_KOS","Kosovo",103638,NA,1932774
"KWT","Kuwait",280536,2370265,4270563
"KGZ","Kyrgyzstan",96958,NA,6524191
"LAO","Laos",1072,NA,7275556
"LVA","Latvia",120736,2274085,1886202
"LBN","Lebanon",530217,NA,6825442
"LSO","Lesotho",10749,NA,2142252
"LBR","Liberia",2113,NA,5057677
"LBY","Libya",178927,NA,6871287
"LIE","Liechtenstein",2956,41599,38137
"LTU","Lithuania",252699,NA,2722291
"LUX","Luxembourg",67850,2702729,625976
"MAC","Macao",NA,NA,649342
"MDG","Madagascar",38116,188510,27691019
"MWI","Malawi",34143,NA,19129955
"MYS","Malaysia",424376,9738804,32365998
"MDV","Maldives",32665,758314,540542
"MLI","Mali",13998,NA,20250834
"MLT","Malta",30411,876070,441539
"MHL","Marshall Islands",4,NA,59194
"MRT","Mauritania",18542,NA,4649660
"MUS","Mauritius",1216,NA,1271767
"MEX","Mexico",2355985,6279703,128932753
"FSM","Micronesia (country)",1,NA,115021
"MDA","Moldova",251820,NA,4033963
"MCO","Monaco",2471,NA,39244
"MNG","Mongolia",41524,2745094,3278292
"MNE","Montenegro",97930,NA,628062
"MAR","Morocco",512656,5789024,36910558
"MOZ","Mozambique",70052,NA,31255435
"MMR","Myanmar",142874,NA,54409794
"NAM","Namibia",49323,394758,2540916
"NPL","Nepal",359610,2558051,29136808
"NLD","Netherlands",1558549,NA,17134873
"NZL","New Zealand",2633,2037349,4822233
"NIC","Nicaragua",6989,NA,6624554
"NER","Niger",5286,NA,24206636
"NGA","Nigeria",165273,NA,206139587
"MKD","North Macedonia",153137,NA,2083380
"NOR","Norway",114905,5228065,5421242
"OMN","Oman",198572,NA,5106622
"PAK","Pakistan",841636,12010519,220892331
"PSE","Palestine",299736,NA,5101416
"PAN","Panama",365975,2427078,4314768
"PNG","Papua New Guinea",11273,NA,8947027
"PRY","Paraguay",288974,1120800,7132530
"PER","Peru",1818689,NA,32971846
"PHL","Philippines",1073555,11390994,109581085
"POL","Poland",2811951,14200822,37846605
"PRT","Portugal",838102,10781631,10196707
"QAT","Qatar",208877,1927819,2881060
"ROU","Romania",1060895,7420545,19237682
"RUS","Russia",4792354,130634478,145934460
"RWA","Rwanda",25421,NA,12952209
"KNA","Saint Kitts and Nevis",45,NA,53192
"LCA","Saint Lucia",4585,NA,183629
"VCT","Saint Vincent and the Grenadines",1882,NA,110947
"WSM","Samoa",3,NA,198410
"SMR","San Marino",5067,NA,33938
"STP","Sao Tome and Principe",2314,NA,219161
"SAU","Saudi Arabia",422316,17314863,34813867
"SEN","Senegal",40544,497649,16743930
"SRB","Serbia",695875,3881861,6804596
"SYC","Seychelles",6373,NA,98340
"SLE","Sierra Leone",4068,NA,7976985
"SGP","Singapore",61268,NA,5850343
"SVK","Slovakia",384317,35603020,5459643
"SVN","Slovenia",243719,1195004,2078932
"SLB","Solomon Islands",20,NA,686878
"SOM","Somalia",14121,NA,15893219
"ZAF","South Africa",1588221,10773227,59308690
"KOR","South Korea",125519,8915074,51269183
"SSD","South Sudan",10613,153992,11193729
"ESP","Spain",3551262,NA,46754783
"LKA","Sri Lanka",117529,2887141,21413250
"SDN","Sudan",34082,NA,43849269
"SUR","Suriname",10696,NA,586634
"SWE","Sweden",995595,NA,10099270
"CHE","Switzerland",667380,6653064,8654618
"SYR","Syria",23121,NA,17500657
"TWN","Taiwan",1160,212631,23816775
"TJK","Tajikistan",13308,NA,9537642
"TZA","Tanzania",509,NA,59734213
"THA","Thailand",74900,NA,69799978
"TLS","Timor",2786,NA,1318442
"TGO","Togo",13068,313749,8278737
"TTO","Trinidad and Tobago",12105,138090,1399491
"TUN","Tunisia",315600,1333567,11818618
"TUR","Turkey",4955594,48459224,84339067
"UGA","Uganda",42102,NA,45741000
"UKR","Ukraine",2146121,9518164,43733759
"ARE","United Arab Emirates",529220,45004538,9890400
"GBR","United Kingdom",4441644,158363333,67886004
"USA","United States",32557444,NA,331002647
"URY","Uruguay",209867,1857081,3473727
"UZB","Uzbekistan",92724,NA,33469199
"VUT","Vanuatu",4,NA,307150
"VAT","Vatican",27,NA,809
"VEN","Venezuela",202578,NA,28435943
"VNM","Vietnam",3030,NA,97338583
"YEM","Yemen",6414,NA,29825968
"ZMB","Zambia",91849,1421922,18383956
"ZWE","Zimbabwe",38357,502216,14862927
